Species Name,State,Year,Poaching Incidents,Reason for Poaching,Conservation Status,Crime Report Date,Crime Type,Arrests Made,Case Status,Seized Items,Crimes Reported Per Year
,Rajasthan,2023.0,9.0,Traditional Medicine,Critically Endangered,26-08-2021,Wildlife Trafficking,9.0,Under Investigation,Ivory,125.0
Pangolin,Assam,2020.0,13.0,Ivory Trade,Critically Endangered,12-11-2020,Wildlife Trafficking,1.0,Open,Scales,53.0
Indian Elephant,Assam,2021.0,17.0,Traditional Medicine,Critically Endangered,01-02-2021,Illegal Trade,0.0,Open,Ivory,121.0
Indian Elephant,Karnataka,2021.0,8.0,Traditional Medicine,Critically Endangered,09-09-2023,Wildlife Trafficking,6.0,Open,Skin,82.0
Pangolin,Rajasthan,2020.0,12.0,Trophy Hunting,Vulnerable,18-08-2021,Poaching,2.0,Open,Scales,138.0
Indian Leopard,Rajasthan,2022.0,20.0,Skin Trade,Critically Endangered,29-06-2021,Poaching,0.0,Open,Skin,63.0
Indian Elephant,Karnataka,,3.0,Skin Trade,,16-03-2020,Wildlife Trafficking,6.0,Closed,Skin,62.0
Bengal Tiger,Madhya Pradesh,2022.0,18.0,Ivory Trade,Endangered,14-05-2022,Poaching,2.0,Open,Claws,98.0
Bengal Tiger,,2021.0,15.0,Ivory Trade,Critically Endangered,04-07-2022,Poaching,0.0,Open,Skin,99.0
Indian Rhino,Odisha,2021.0,12.0,Bushmeat,Endangered,09-12-2021,Wildlife Trafficking,1.0,Open,Horn,145.0
Indian Elephant,Rajasthan,2022.0,1.0,Ivory Trade,Vulnerable,30-04-2021,Illegal Trade,6.0,Under Investigation,Skin,138.0
Indian Leopard,Assam,2020.0,7.0,Ivory Trade,Vulnerable,16-01-2023,Wildlife Trafficking,7.0,Open,Claws,149.0
Pangolin,Odisha,2022.0,2.0,Traditional Medicine,Endangered,16-01-2022,Wildlife Trafficking,5.0,Open,Scales,137.0
,Rajasthan,2022.0,3.0,Traditional Medicine,Critically Endangered,09-06-2023,Wildlife Trafficking,5.0,Under Investigation,Scales,131.0
Indian Leopard,Karnataka,2023.0,4.0,Trophy Hunting,Critically Endangered,27-10-2022,Wildlife Trafficking,7.0,Open,Skin,63.0
Indian Rhino,Odisha,,4.0,Ivory Trade,Endangered,03-07-2021,Illegal Trade,7.0,Closed,Horn,60.0
Pangolin,,2022.0,2.0,Traditional Medicine,Endangered,02-09-2022,Illegal Trade,8.0,Under Investigation,Scales,98.0
Indian Elephant,Madhya Pradesh,2022.0,19.0,Skin Trade,Endangered,11-12-2022,Poaching,2.0,Open,Skin,131.0
Indian Rhino,Madhya Pradesh,2021.0,14.0,Ivory Trade,Critically Endangered,30-07-2022,Smuggling,0.0,Closed,Horn,103.0
Indian Elephant,Assam,2023.0,8.0,Bushmeat,Critically Endangered,07-07-2022,Wildlife Trafficking,6.0,Under Investigation,Ivory,116.0
Bengal Tiger,Rajasthan,2023.0,2.0,Bushmeat,,20-11-2023,Poaching,10.0,Closed,Claws,56.0
Indian Rhino,Madhya Pradesh,2021.0,19.0,Ivory Trade,Endangered,29-05-2023,Illegal Trade,1.0,Open,Horn,63.0
Pangolin,Karnataka,2020.0,1.0,Traditional Medicine,Critically Endangered,22-12-2023,Poaching,,,Scales,91.0
Indian Rhino,Rajasthan,2023.0,6.0,Bushmeat,Vulnerable,12-03-2023,Poaching,,Closed,Horn,100.0
Indian Rhino,Karnataka,2023.0,6.0,Bushmeat,Endangered,28-12-2020,Smuggling,,Closed,Horn,91.0
Indian Rhino,Karnataka,2020.0,6.0,Trophy Hunting,Critically Endangered,16-01-2021,Wildlife Trafficking,6.0,Under Investigation,Horn,104.0
Indian Rhino,Madhya Pradesh,2023.0,14.0,Bushmeat,Endangered,24-07-2023,Poaching,0.0,Under Investigation,Horn,55.0
Indian Elephant,Rajasthan,2023.0,9.0,Ivory Trade,Vulnerable,,Illegal Trade,7.0,Open,Ivory,50.0
Bengal Tiger,,2020.0,15.0,Skin Trade,Vulnerable,03-11-2022,Illegal Trade,1.0,Under Investigation,Skin,74.0
Indian Leopard,Madhya Pradesh,2020.0,15.0,Ivory Trade,,24-10-2020,Illegal Trade,0.0,Open,Skin,108.0
Indian Rhino,Madhya Pradesh,2022.0,7.0,Ivory Trade,Endangered,30-09-2022,Illegal Trade,6.0,Under Investigation,Horn,105.0
Pangolin,Rajasthan,2021.0,2.0,Skin Trade,Vulnerable,,Poaching,9.0,Closed,Scales,103.0
Indian Rhino,Rajasthan,,6.0,Traditional Medicine,Endangered,28-07-2021,Wildlife Trafficking,7.0,Under Investigation,Horn,140.0
Pangolin,Karnataka,,3.0,Traditional Medicine,Vulnerable,27-01-2020,Illegal Trade,6.0,Under Investigation,Scales,85.0
Indian Elephant,Rajasthan,2020.0,2.0,Ivory Trade,Vulnerable,02-04-2020,Illegal Trade,7.0,Open,Ivory,99.0
Pangolin,Karnataka,2023.0,6.0,Skin Trade,Critically Endangered,08-09-2021,Illegal Trade,7.0,Open,Scales,117.0
Indian Leopard,Madhya Pradesh,,11.0,Ivory Trade,Endangered,04-11-2020,Wildlife Trafficking,0.0,Open,Skin,71.0
Bengal Tiger,Assam,2022.0,6.0,Traditional Medicine,Endangered,21-02-2020,Illegal Trade,10.0,Closed,Skin,99.0
Pangolin,Odisha,2020.0,10.0,Traditional Medicine,Critically Endangered,14-11-2020,Illegal Trade,0.0,Open,Scales,80.0
Pangolin,Madhya Pradesh,2023.0,8.0,Traditional Medicine,Vulnerable,29-06-2020,Wildlife Trafficking,8.0,Under Investigation,Scales,79.0
Bengal Tiger,Rajasthan,,9.0,Ivory Trade,,17-02-2023,Smuggling,7.0,Under Investigation,Claws,75.0
Indian Leopard,Odisha,2021.0,6.0,Ivory Trade,Critically Endangered,24-05-2022,Illegal Trade,9.0,Closed,Claws,116.0
,Assam,2021.0,4.0,Skin Trade,Critically Endangered,,Poaching,,Under Investigation,Scales,125.0
Pangolin,Assam,2023.0,5.0,Skin Trade,Endangered,08-10-2021,Wildlife Trafficking,7.0,Open,Scales,89.0
Bengal Tiger,Karnataka,2021.0,12.0,Bushmeat,Critically Endangered,07-07-2023,Poaching,0.0,Under Investigation,Teeth,124.0
Indian Elephant,Odisha,,8.0,Ivory Trade,Vulnerable,15-07-2020,Poaching,8.0,Under Investigation,Skin,55.0
Bengal Tiger,,2023.0,3.0,Ivory Trade,Critically Endangered,06-10-2021,Wildlife Trafficking,9.0,Open,Teeth,135.0
Indian Elephant,Madhya Pradesh,2021.0,7.0,Ivory Trade,,28-08-2022,Poaching,10.0,Closed,Skin,55.0
Indian Leopard,Odisha,2022.0,14.0,Traditional Medicine,Vulnerable,11-09-2020,Illegal Trade,2.0,Open,Skin,59.0
Indian Rhino,Madhya Pradesh,2023.0,8.0,Traditional Medicine,Endangered,,Poaching,6.0,Closed,Horn,101.0
Bengal Tiger,Karnataka,2023.0,13.0,Skin Trade,Critically Endangered,01-12-2020,Wildlife Trafficking,0.0,Open,Skin,92.0
Pangolin,Odisha,2022.0,5.0,Traditional Medicine,Vulnerable,16-09-2022,Illegal Trade,10.0,Under Investigation,Scales,79.0
Indian Leopard,Karnataka,2020.0,6.0,Traditional Medicine,Vulnerable,18-06-2022,Illegal Trade,9.0,Open,Claws,122.0
Bengal Tiger,Odisha,2022.0,19.0,Traditional Medicine,Critically Endangered,02-07-2023,Illegal Trade,1.0,Under Investigation,Skin,52.0
Pangolin,Karnataka,2023.0,9.0,Traditional Medicine,Vulnerable,28-05-2021,Illegal Trade,,Closed,Scales,59.0
Bengal Tiger,Assam,2020.0,16.0,Traditional Medicine,Critically Endangered,29-08-2020,Poaching,0.0,Closed,Teeth,106.0
Indian Elephant,,2021.0,18.0,Ivory Trade,Endangered,28-05-2020,Poaching,0.0,Closed,Skin,81.0
Bengal Tiger,Assam,2021.0,9.0,Skin Trade,Vulnerable,15-08-2023,Illegal Trade,6.0,Under Investigation,Claws,148.0
Bengal Tiger,Karnataka,2021.0,1.0,Skin Trade,Vulnerable,26-01-2022,Wildlife Trafficking,9.0,Under Investigation,Skin,111.0
Bengal Tiger,Odisha,2023.0,18.0,Traditional Medicine,Critically Endangered,,Illegal Trade,2.0,Open,Teeth,145.0
Indian Leopard,Odisha,2022.0,8.0,Traditional Medicine,Critically Endangered,28-03-2021,Poaching,7.0,Under Investigation,Skin,119.0
Bengal Tiger,Odisha,2020.0,13.0,Bushmeat,,17-11-2023,Illegal Trade,0.0,Open,Claws,95.0
Pangolin,Rajasthan,2021.0,10.0,Traditional Medicine,Critically Endangered,30-07-2020,Poaching,0.0,Closed,Scales,60.0
Indian Elephant,Madhya Pradesh,2020.0,7.0,Skin Trade,Vulnerable,29-10-2021,Illegal Trade,8.0,Under Investigation,Skin,86.0
Indian Elephant,,2023.0,3.0,Skin Trade,Endangered,16-08-2021,Wildlife Trafficking,,Open,Ivory,63.0
Bengal Tiger,Assam,,3.0,Ivory Trade,Endangered,10-05-2020,Wildlife Trafficking,9.0,Open,Teeth,76.0
Indian Leopard,Odisha,2023.0,4.0,Ivory Trade,Endangered,14-09-2023,Wildlife Trafficking,7.0,Closed,Claws,53.0
Indian Leopard,Rajasthan,2022.0,17.0,Trophy Hunting,Endangered,03-09-2021,Wildlife Trafficking,0.0,Closed,Skin,106.0
Pangolin,Assam,2023.0,15.0,Skin Trade,Critically Endangered,12-09-2020,Illegal Trade,1.0,Closed,Scales,121.0
Bengal Tiger,Rajasthan,2023.0,1.0,Skin Trade,Vulnerable,14-07-2021,Wildlife Trafficking,5.0,Closed,Teeth,131.0
,Assam,2022.0,3.0,Traditional Medicine,Vulnerable,03-03-2020,Wildlife Trafficking,5.0,Open,Ivory,106.0
Indian Leopard,Karnataka,2020.0,19.0,Skin Trade,Vulnerable,27-08-2023,Poaching,2.0,Open,Skin,54.0
Bengal Tiger,Madhya Pradesh,2022.0,16.0,Traditional Medicine,Critically Endangered,10-02-2021,Poaching,0.0,Open,Teeth,109.0
Indian Leopard,Madhya Pradesh,2022.0,2.0,Ivory Trade,Vulnerable,12-03-2022,Wildlife Trafficking,10.0,Closed,Claws,86.0
Indian Leopard,Rajasthan,2023.0,3.0,Skin Trade,Critically Endangered,02-02-2023,Illegal Trade,6.0,Open,Skin,69.0
Indian Elephant,,,20.0,Traditional Medicine,Vulnerable,15-01-2020,Illegal Trade,2.0,Open,Ivory,53.0
Indian Rhino,Rajasthan,2021.0,6.0,Skin Trade,Endangered,15-09-2020,Illegal Trade,7.0,Under Investigation,Horn,105.0
,Rajasthan,2022.0,2.0,Ivory Trade,Critically Endangered,23-12-2021,Poaching,6.0,Closed,Skin,146.0
Pangolin,Rajasthan,2020.0,1.0,Ivory Trade,Vulnerable,06-12-2023,Illegal Trade,5.0,Under Investigation,Scales,93.0
Indian Elephant,Madhya Pradesh,,2.0,Trophy Hunting,Endangered,06-07-2023,Wildlife Trafficking,8.0,Open,Skin,141.0
Indian Leopard,Rajasthan,2022.0,4.0,Ivory Trade,,05-09-2021,Wildlife Trafficking,5.0,Open,Claws,50.0
Bengal Tiger,Madhya Pradesh,2022.0,6.0,Bushmeat,Endangered,07-07-2023,Wildlife Trafficking,5.0,Under Investigation,Teeth,123.0
Indian Leopard,Rajasthan,2022.0,1.0,Traditional Medicine,Critically Endangered,04-12-2022,Wildlife Trafficking,9.0,Under Investigation,Claws,55.0
Indian Elephant,Odisha,2023.0,11.0,Ivory Trade,Critically Endangered,23-03-2022,Wildlife Trafficking,0.0,Open,Ivory,144.0
Pangolin,,,16.0,Traditional Medicine,Vulnerable,26-11-2020,Illegal Trade,0.0,Open,Scales,85.0
Indian Leopard,Assam,2020.0,7.0,Traditional Medicine,,13-06-2020,Wildlife Trafficking,,Under Investigation,Claws,86.0
Pangolin,Rajasthan,2020.0,2.0,Traditional Medicine,Vulnerable,,Poaching,,Closed,Scales,138.0
Bengal Tiger,Karnataka,2022.0,3.0,Skin Trade,Vulnerable,25-11-2023,Wildlife Trafficking,8.0,Under Investigation,Claws,136.0
,Rajasthan,2023.0,2.0,Traditional Medicine,Endangered,29-10-2023,Illegal Trade,10.0,Under Investigation,Ivory,60.0
Pangolin,Assam,2022.0,5.0,Bushmeat,Vulnerable,24-12-2022,Poaching,7.0,Open,Scales,114.0
Indian Rhino,Assam,2022.0,3.0,Ivory Trade,Critically Endangered,21-01-2021,Wildlife Trafficking,9.0,Under Investigation,Horn,107.0
Indian Rhino,Madhya Pradesh,2020.0,1.0,Ivory Trade,Vulnerable,09-12-2023,Illegal Trade,10.0,Open,Horn,128.0
Indian Rhino,Odisha,2022.0,6.0,Trophy Hunting,Endangered,19-11-2022,Wildlife Trafficking,6.0,Open,Horn,51.0
Pangolin,,2021.0,20.0,Skin Trade,Critically Endangered,13-07-2023,Illegal Trade,0.0,Under Investigation,Scales,71.0
Indian Elephant,Madhya Pradesh,2022.0,2.0,Traditional Medicine,Critically Endangered,23-11-2020,Wildlife Trafficking,6.0,Open,Ivory,104.0
Pangolin,Odisha,2021.0,13.0,Ivory Trade,Vulnerable,25-05-2023,Wildlife Trafficking,0.0,Closed,Scales,55.0
Indian Elephant,,2022.0,9.0,Trophy Hunting,Vulnerable,,Wildlife Trafficking,10.0,Under Investigation,Skin,105.0
Indian Elephant,Karnataka,2023.0,18.0,Traditional Medicine,Critically Endangered,02-02-2021,Illegal Trade,1.0,Under Investigation,Ivory,104.0
Indian Rhino,Rajasthan,2023.0,19.0,Ivory Trade,Vulnerable,,Poaching,0.0,Closed,Horn,150.0
Indian Leopard,Assam,2020.0,5.0,Traditional Medicine,Endangered,26-11-2021,Illegal Trade,7.0,Under Investigation,Skin,118.0
Bengal Tiger,Assam,2022.0,9.0,Traditional Medicine,Vulnerable,13-10-2022,Wildlife Trafficking,8.0,Closed,Claws,123.0
Indian Rhino,Karnataka,2021.0,19.0,Skin Trade,Vulnerable,,Poaching,1.0,Under Investigation,Horn,98.0
Indian Rhino,Madhya Pradesh,2021.0,11.0,Traditional Medicine,Critically Endangered,21-10-2021,Illegal Trade,1.0,Under Investigation,Horn,51.0
Indian Leopard,Odisha,2022.0,1.0,Traditional Medicine,Vulnerable,06-12-2022,Poaching,6.0,Under Investigation,Claws,130.0
Bengal Tiger,Rajasthan,2021.0,3.0,Bushmeat,Vulnerable,21-08-2021,Poaching,,Open,Skin,113.0
Pangolin,Assam,2023.0,10.0,Ivory Trade,,31-03-2022,Illegal Trade,0.0,Under Investigation,Scales,78.0
Pangolin,Madhya Pradesh,,3.0,Traditional Medicine,Endangered,02-10-2021,Poaching,9.0,Open,Scales,59.0
Indian Rhino,Karnataka,2020.0,6.0,Bushmeat,Vulnerable,09-11-2020,Illegal Trade,7.0,Under Investigation,Horn,74.0
Bengal Tiger,Assam,2023.0,2.0,Ivory Trade,Endangered,,Poaching,10.0,Under Investigation,Teeth,132.0
Indian Rhino,Karnataka,2023.0,17.0,Ivory Trade,Endangered,06-04-2021,Smuggling,2.0,Open,Horn,134.0
Indian Elephant,Rajasthan,2023.0,3.0,Traditional Medicine,Endangered,30-04-2021,Poaching,10.0,Closed,Skin,142.0
,Odisha,2022.0,17.0,Skin Trade,Endangered,13-02-2021,Wildlife Trafficking,2.0,Open,Ivory,104.0
Indian Rhino,Assam,,4.0,Traditional Medicine,Critically Endangered,27-01-2020,Wildlife Trafficking,5.0,Open,Horn,79.0
Pangolin,Assam,2023.0,14.0,Traditional Medicine,Endangered,18-11-2022,Illegal Trade,2.0,Under Investigation,Scales,143.0
Pangolin,Rajasthan,,2.0,Trophy Hunting,Vulnerable,27-09-2020,Poaching,8.0,Open,Scales,59.0
,Madhya Pradesh,2021.0,8.0,Ivory Trade,Endangered,16-11-2021,Illegal Trade,9.0,Open,Ivory,150.0
Indian Elephant,Odisha,2022.0,8.0,Ivory Trade,Vulnerable,15-05-2021,Wildlife Trafficking,8.0,Open,Skin,67.0
Pangolin,,2022.0,19.0,Ivory Trade,Endangered,30-06-2023,Wildlife Trafficking,,Open,Scales,77.0
Bengal Tiger,,2023.0,19.0,Ivory Trade,Critically Endangered,19-01-2021,Wildlife Trafficking,1.0,Open,Skin,124.0
Indian Leopard,Assam,2020.0,2.0,Ivory Trade,Endangered,29-02-2020,Wildlife Trafficking,7.0,Closed,Claws,62.0
Bengal Tiger,Odisha,2020.0,8.0,Traditional Medicine,Endangered,04-02-2023,Illegal Trade,9.0,Closed,Teeth,79.0
Bengal Tiger,Karnataka,2020.0,3.0,Traditional Medicine,Critically Endangered,07-08-2020,Poaching,9.0,Closed,Teeth,99.0
Pangolin,Assam,2021.0,9.0,Traditional Medicine,Endangered,09-02-2022,Illegal Trade,8.0,Open,Scales,55.0
Indian Leopard,Odisha,,17.0,Skin Trade,Vulnerable,17-07-2021,Poaching,1.0,Open,Claws,142.0
Indian Leopard,,,8.0,Trophy Hunting,Endangered,29-06-2021,Wildlife Trafficking,5.0,Closed,Claws,69.0
Indian Leopard,,2023.0,8.0,Traditional Medicine,Endangered,05-04-2020,Poaching,8.0,Under Investigation,Claws,103.0
Indian Elephant,Karnataka,2020.0,9.0,Traditional Medicine,Endangered,15-09-2022,Wildlife Trafficking,9.0,Closed,Skin,123.0
Pangolin,Madhya Pradesh,2020.0,2.0,Trophy Hunting,Critically Endangered,17-01-2023,Illegal Trade,5.0,Under Investigation,Scales,115.0
Indian Leopard,Odisha,2022.0,3.0,Ivory Trade,Endangered,07-04-2022,Poaching,,Closed,Skin,138.0
Indian Elephant,Rajasthan,,4.0,Traditional Medicine,Endangered,18-08-2020,Illegal Trade,5.0,Under Investigation,Ivory,127.0
Indian Rhino,Madhya Pradesh,2022.0,3.0,Traditional Medicine,Vulnerable,25-08-2022,Wildlife Trafficking,7.0,Under Investigation,Horn,119.0
Indian Rhino,Odisha,2021.0,16.0,Traditional Medicine,Endangered,01-10-2020,Illegal Trade,1.0,Open,Horn,56.0
Indian Elephant,,2021.0,7.0,Ivory Trade,Endangered,02-09-2020,Wildlife Trafficking,7.0,Closed,Skin,64.0
Indian Elephant,Madhya Pradesh,2020.0,13.0,Ivory Trade,Endangered,20-04-2020,Wildlife Trafficking,0.0,Under Investigation,Skin,144.0
Pangolin,Assam,2022.0,7.0,Skin Trade,Endangered,21-08-2020,Wildlife Trafficking,5.0,Closed,Scales,109.0
Pangolin,Odisha,2020.0,6.0,Trophy Hunting,Vulnerable,25-07-2023,Illegal Trade,7.0,Closed,Scales,124.0
Indian Rhino,,2023.0,5.0,Trophy Hunting,Vulnerable,20-02-2021,Illegal Trade,5.0,Closed,Horn,59.0
Indian Leopard,Assam,2023.0,14.0,Bushmeat,Critically Endangered,08-11-2021,Poaching,,Under Investigation,Skin,124.0
Indian Rhino,Madhya Pradesh,2022.0,2.0,Bushmeat,Endangered,25-02-2023,Poaching,,,Horn,130.0
Indian Leopard,Madhya Pradesh,,5.0,Ivory Trade,Critically Endangered,14-06-2023,Illegal Trade,6.0,Closed,Skin,91.0
Indian Leopard,Madhya Pradesh,2023.0,2.0,Traditional Medicine,Critically Endangered,13-03-2022,Illegal Trade,5.0,Under Investigation,Claws,129.0
Pangolin,Odisha,2022.0,6.0,Traditional Medicine,Endangered,10-09-2021,Illegal Trade,10.0,Open,Scales,94.0
Bengal Tiger,,2021.0,5.0,Bushmeat,Vulnerable,25-02-2023,Illegal Trade,5.0,Under Investigation,Teeth,110.0
Bengal Tiger,Assam,2021.0,1.0,Traditional Medicine,Vulnerable,07-12-2021,Wildlife Trafficking,9.0,Under Investigation,Skin,62.0
Indian Elephant,Rajasthan,2022.0,9.0,Ivory Trade,Endangered,30-04-2022,Wildlife Trafficking,7.0,Under Investigation,Skin,62.0
Pangolin,Assam,2023.0,1.0,Skin Trade,Endangered,18-11-2023,Wildlife Trafficking,10.0,Open,Scales,88.0
Indian Leopard,Karnataka,2020.0,1.0,Ivory Trade,Vulnerable,19-04-2021,Illegal Trade,9.0,Under Investigation,Skin,112.0
Bengal Tiger,Madhya Pradesh,2022.0,1.0,Ivory Trade,Endangered,16-10-2021,Wildlife Trafficking,9.0,Under Investigation,Teeth,79.0
Indian Leopard,Madhya Pradesh,2022.0,12.0,Traditional Medicine,Endangered,29-01-2021,Wildlife Trafficking,0.0,Open,Claws,132.0
Bengal Tiger,Madhya Pradesh,2020.0,20.0,Traditional Medicine,Endangered,20-04-2020,Poaching,0.0,Open,Skin,67.0
Bengal Tiger,Assam,2022.0,5.0,Traditional Medicine,Vulnerable,30-03-2020,Poaching,7.0,Under Investigation,Skin,138.0
Bengal Tiger,Assam,2020.0,1.0,Trophy Hunting,,01-02-2022,Wildlife Trafficking,10.0,Under Investigation,Claws,104.0
,Madhya Pradesh,2023.0,11.0,Traditional Medicine,,27-07-2023,Wildlife Trafficking,0.0,Open,Ivory,100.0
Indian Rhino,Assam,2021.0,2.0,Skin Trade,Endangered,18-09-2023,Wildlife Trafficking,8.0,Closed,Horn,119.0
Indian Leopard,Odisha,2023.0,17.0,Skin Trade,Vulnerable,01-06-2023,Illegal Trade,2.0,Under Investigation,Skin,62.0
Pangolin,Odisha,2021.0,5.0,Traditional Medicine,Endangered,29-01-2023,Poaching,7.0,Closed,Scales,125.0
Pangolin,Assam,2020.0,9.0,Traditional Medicine,Vulnerable,11-05-2020,Poaching,6.0,Closed,Scales,124.0
Pangolin,Madhya Pradesh,2021.0,1.0,Ivory Trade,Endangered,02-11-2022,Poaching,10.0,Closed,Scales,69.0
,Assam,2023.0,4.0,Traditional Medicine,Vulnerable,01-04-2021,Wildlife Trafficking,,Under Investigation,Scales,61.0
Pangolin,Assam,2021.0,6.0,Skin Trade,Vulnerable,07-04-2020,Illegal Trade,8.0,Under Investigation,Scales,149.0
Indian Elephant,,2020.0,19.0,Skin Trade,Critically Endangered,17-02-2023,Poaching,1.0,Open,Skin,113.0
Indian Leopard,Karnataka,2021.0,3.0,Skin Trade,,19-10-2020,Poaching,,Closed,Skin,55.0
Pangolin,,2022.0,20.0,Bushmeat,Critically Endangered,21-10-2022,Illegal Trade,0.0,Open,Scales,67.0
Indian Leopard,,2023.0,4.0,Trophy Hunting,Critically Endangered,25-07-2021,Wildlife Trafficking,7.0,Under Investigation,Claws,95.0
Indian Elephant,Rajasthan,2022.0,18.0,Traditional Medicine,Vulnerable,06-09-2020,Wildlife Trafficking,2.0,Under Investigation,Ivory,76.0
Indian Elephant,Karnataka,2020.0,1.0,Ivory Trade,Endangered,13-10-2021,Poaching,9.0,Open,Ivory,109.0
Indian Leopard,Assam,2021.0,1.0,Ivory Trade,Vulnerable,28-05-2020,Poaching,9.0,Closed,Claws,84.0
Bengal Tiger,Karnataka,2022.0,3.0,Ivory Trade,Vulnerable,19-11-2023,Illegal Trade,,Open,Teeth,145.0
Indian Rhino,Karnataka,2022.0,8.0,Traditional Medicine,Vulnerable,13-02-2020,Wildlife Trafficking,10.0,Closed,Horn,93.0
Bengal Tiger,Madhya Pradesh,2021.0,3.0,Skin Trade,Endangered,03-12-2022,Smuggling,10.0,Under Investigation,Teeth,82.0
Bengal Tiger,Odisha,2021.0,1.0,Skin Trade,Endangered,06-01-2023,Poaching,7.0,Closed,Skin,134.0
Bengal Tiger,Rajasthan,2023.0,1.0,Skin Trade,Vulnerable,03-06-2023,Poaching,9.0,Open,Teeth,121.0
Pangolin,Assam,2022.0,2.0,Ivory Trade,Endangered,10-06-2020,Poaching,6.0,Closed,Scales,121.0
Indian Elephant,Rajasthan,2022.0,12.0,Ivory Trade,Vulnerable,09-09-2020,Wildlife Trafficking,0.0,Open,Ivory,134.0
Bengal Tiger,Rajasthan,2020.0,1.0,Traditional Medicine,Endangered,11-05-2020,Illegal Trade,7.0,Under Investigation,Skin,63.0
Indian Elephant,Odisha,2023.0,5.0,Traditional Medicine,Endangered,18-04-2021,Poaching,6.0,Open,Skin,74.0
Indian Leopard,Rajasthan,2020.0,8.0,Ivory Trade,Critically Endangered,06-02-2023,Wildlife Trafficking,6.0,Open,Claws,56.0
Indian Rhino,Rajasthan,,2.0,Bushmeat,Vulnerable,06-12-2021,Wildlife Trafficking,7.0,Open,Horn,62.0
Indian Leopard,Karnataka,2020.0,4.0,Ivory Trade,Critically Endangered,24-11-2022,Wildlife Trafficking,9.0,Open,Skin,133.0
Indian Leopard,Odisha,2022.0,3.0,Traditional Medicine,Critically Endangered,01-10-2020,Illegal Trade,8.0,Under Investigation,Claws,57.0
Pangolin,Madhya Pradesh,2022.0,1.0,Ivory Trade,,05-07-2020,Poaching,8.0,Open,Scales,96.0
Indian Rhino,,2020.0,9.0,Traditional Medicine,Vulnerable,06-08-2022,Wildlife Trafficking,,Under Investigation,Horn,115.0
Indian Leopard,,2020.0,6.0,Skin Trade,Endangered,30-08-2020,Wildlife Trafficking,6.0,Open,Claws,84.0
Indian Leopard,Assam,2021.0,8.0,Bushmeat,Vulnerable,,Wildlife Trafficking,5.0,Under Investigation,Claws,120.0
Indian Rhino,Madhya Pradesh,2021.0,17.0,Ivory Trade,Critically Endangered,05-06-2021,Poaching,0.0,Open,Horn,74.0
Indian Rhino,Assam,2021.0,11.0,Traditional Medicine,Critically Endangered,20-08-2022,Poaching,0.0,Open,Horn,81.0
Indian Leopard,Madhya Pradesh,2022.0,10.0,Bushmeat,Vulnerable,21-02-2022,Wildlife Trafficking,0.0,Open,Claws,139.0
Indian Rhino,,2020.0,5.0,Trophy Hunting,Critically Endangered,15-01-2023,Poaching,8.0,Closed,Horn,64.0
Indian Leopard,Rajasthan,2023.0,4.0,Traditional Medicine,Endangered,18-06-2021,Wildlife Trafficking,8.0,Open,Skin,76.0
Indian Leopard,Madhya Pradesh,2022.0,2.0,Traditional Medicine,Critically Endangered,28-07-2020,Poaching,9.0,Under Investigation,Skin,106.0
Pangolin,Assam,2023.0,12.0,Skin Trade,Endangered,15-02-2020,Illegal Trade,0.0,Open,Scales,119.0
Bengal Tiger,Rajasthan,2020.0,2.0,Ivory Trade,Critically Endangered,26-01-2020,Illegal Trade,9.0,Open,Skin,147.0
Indian Leopard,,2022.0,19.0,Ivory Trade,Endangered,13-07-2023,Poaching,,,Claws,80.0
Indian Elephant,Rajasthan,2023.0,20.0,Traditional Medicine,Endangered,23-06-2020,Illegal Trade,0.0,Under Investigation,Skin,64.0
Bengal Tiger,Madhya Pradesh,2023.0,16.0,Skin Trade,,27-08-2023,Illegal Trade,0.0,Open,Skin,140.0
Bengal Tiger,Karnataka,2021.0,5.0,Ivory Trade,Endangered,17-11-2020,Illegal Trade,10.0,Under Investigation,Teeth,95.0
Bengal Tiger,Assam,2021.0,3.0,Traditional Medicine,Vulnerable,,Wildlife Trafficking,8.0,Under Investigation,Teeth,63.0
Pangolin,Karnataka,,6.0,Skin Trade,Critically Endangered,24-02-2020,Poaching,9.0,Under Investigation,Scales,112.0
Indian Leopard,Karnataka,2022.0,2.0,Trophy Hunting,Critically Endangered,25-03-2023,Poaching,5.0,Open,Skin,63.0
Pangolin,Odisha,2020.0,7.0,Ivory Trade,Critically Endangered,29-10-2021,Poaching,6.0,Closed,Scales,83.0
Indian Leopard,Karnataka,,4.0,Traditional Medicine,Endangered,26-05-2020,Illegal Trade,9.0,Closed,Skin,119.0
Pangolin,Karnataka,2021.0,1.0,Traditional Medicine,Critically Endangered,21-08-2021,Wildlife Trafficking,10.0,Under Investigation,Scales,118.0
Pangolin,Rajasthan,2021.0,9.0,Ivory Trade,Critically Endangered,20-01-2020,Poaching,10.0,Under Investigation,Scales,117.0
Indian Elephant,Assam,2021.0,9.0,Traditional Medicine,Vulnerable,,Illegal Trade,9.0,Under Investigation,Skin,149.0
Pangolin,Rajasthan,2023.0,20.0,Traditional Medicine,Vulnerable,28-11-2020,Wildlife Trafficking,1.0,Open,Scales,73.0
Indian Rhino,Rajasthan,2021.0,4.0,Ivory Trade,Critically Endangered,25-06-2022,Wildlife Trafficking,10.0,Closed,Horn,69.0
